date,open,high,low,close,volume,target_return
1635811,60963.25390625,64242.79296875,60673.0546875,63226.40234375,37746665647,-0.0484790552107539
1635897,63254.3359375,63516.9375,61184.23828125,62970.046875,36124731509,-0.0413217916355569
1635984,62941.8046875,63123.2890625,60799.6640625,61452.23046875,32615846901,-0.0733918641454925
1636070,61460.078125,62541.46875,60844.609375,61125.67578125,30605102446,-0.0491789680494969
1636156,61068.875,61590.68359375,60163.78125,61527.48046875,29094934221,-0.0297474419934944
1636243,61554.921875,63326.98828125,61432.48828125,63326.98828125,24726754302,-0.072583772630017
1636329,63344.06640625,67673.7421875,63344.06640625,67566.828125,41125608330,-0.1669094047397981
1636416,67549.734375,68530.3359375,66382.0625,66971.828125,42357991721,-0.1403986447659778
1636502,66953.3359375,68789.625,63208.11328125,64995.23046875,48730828378,-0.1340837569872164
1636588,64978.890625,65579.015625,64180.48828125,64949.9609375,35880633236,-0.1181722227267505
1636675,64863.98046875,65460.81640625,62333.9140625,64155.94140625,36084893887,-0.1650069432262856
1636761,64158.12109375,64915.67578125,63303.734375,64469.52734375,30474228777,-0.1497521327754227
1636848,64455.37109375,65495.1796875,63647.80859375,65466.83984375,25122092191,-0.1255350469354386
1636934,65521.2890625,66281.5703125,63548.14453125,63557.87109375,30558763548,-0.0904892594501258
1637020,63721.1953125,63721.1953125,59016.3359375,60161.24609375,46844335592,-0.0524560330346589
1637107,60139.62109375,60823.609375,58515.41015625,60368.01171875,39178392930,-0.0519842132348263
1637193,60360.13671875,60948.5,56550.79296875,56942.13671875,41388338699,-0.0081542481412909
1637280,56896.12890625,58351.11328125,55705.1796875,58119.578125,38702407772,-0.0777936140817436
1637366,58115.08203125,59859.87890625,57469.7265625,59697.1953125,30624264863,-0.1758289000438541
1637452,59730.5078125,60004.42578125,58618.9296875,58730.4765625,26123447605,-0.1593998457732164
1637539,58706.84765625,59266.359375,55679.83984375,56289.2890625,35036121783,-0.1013809937475616
1637625,56304.5546875,57875.515625,55632.76171875,57569.07421875,37485803899,-0.1193173309535834
1637712,57565.8515625,57803.06640625,55964.22265625,56280.42578125,36635566789,-0.1026223385142578
1637798,57165.41796875,59367.96875,57146.68359375,57274.6796875,34284016248,-0.1676580060533402
1637884,58960.28515625,59183.48046875,53569.765625,53569.765625,41810748221,-0.1180976034464402
1637971,53736.4296875,55329.2578125,53668.35546875,54815.078125,30560857714,-0.0994720886845401
1638057,54813.0234375,57393.84375,53576.734375,57248.45703125,28116886357,-0.1248963110018317
1638144,57291.90625,58872.87890625,56792.52734375,57806.56640625,32370840356,-0.1914849233512547
1638230,57830.11328125,59113.40234375,56057.28125,57005.42578125,36708594618,-0.1823123470497497
1638316,56907.96484375,59041.68359375,56553.08203125,57229.828125,36858195307,-0.1456077318727751
1638403,57217.37109375,57349.234375,55895.1328125,56477.81640625,32379968686,-0.1560327786331483
1638489,56509.1640625,57482.16796875,52496.5859375,53598.24609375,39789134215,-0.1379914848251433
1638576,53727.87890625,53904.6796875,42874.6171875,49200.703125,61385677469,-0.047802686381832
1638662,49201.51953125,49768.1484375,47857.49609375,49368.84765625,37198201161,-0.0539172404789363
1638748,49413.48046875,50929.51953125,47281.03515625,50582.625,37707308001,-0.0731940593484422
1638835,50581.828125,51934.78125,50175.80859375,50700.0859375,33676814852,-0.034782439193967
1638921,50667.6484375,51171.375,48765.98828125,50504.796875,28479699446,-0.0371506326595834
1639008,50450.08203125,50797.1640625,47358.3515625,47672.12109375,29603577251,0.0652880110500904
1639094,47642.14453125,50015.25390625,47023.69921875,47243.3046875,30966005122,0.0757544513169277
1639180,47264.6328125,49458.2109375,46942.34765625,49362.5078125,25775869261,0.0216227175198282
